GEOID,BAplus
53007960100,NaN
53007960201,NaN
53007960202,NaN
53007960203,NaN
53007960501,NaN
53007960502,NaN
53009001300,NaN
53009001400,NaN
53009001500,NaN
53009001600,NaN
53009001701,NaN
53009001702,NaN
53009001800,NaN
53009001901,NaN
53009001902,NaN
53009002001,NaN
53009002002,NaN
53009002100,NaN
53009002301,NaN
53009002302,NaN
53009990100,NaN
53015001700,NaN
53015001800,NaN
53015001900,NaN
53015002001,NaN
53015002003,NaN
53015002004,NaN
53027000501,NaN
53027000502,NaN
53027000600,NaN
53027000700,NaN
53029970100,NaN
53029970200,NaN
53029970300,NaN
53029970401,NaN
53029970402,NaN
53029970500,NaN
53029970601,NaN
53029970602,NaN
53029970700,NaN
53029970800,NaN
53029970900,NaN
53029971000,NaN
53029971100,NaN
53029971301,NaN
53029971302,NaN
53029971400,NaN
53029971500,NaN
53029971600,NaN
53029971700,NaN
53029971800,NaN
53029971900,NaN
53029972000,NaN
53029972100,NaN
53029992201,NaN
53031950202,NaN
53031950301,NaN
53031950302,NaN
53031950400,NaN
53031950501,NaN
53031950502,NaN
53031950602,NaN
53031950603,NaN
53031950604,NaN
53031950702,NaN
53033000101,2762
53033000102,3832
53033000201,4292
53033000202,3880
53033000300,2109
53033000402,4177
53033000403,2424
53033000404,1610
53033000500,3616
53033000601,3610
53033000602,2980
53033000700,4039
53033000800,2981
53033000900,2784
53033001000,1933
53033001100,3060
53033001201,2532
53033001202,2739
53033001300,4354
53033001400,5512
53033001500,2976
53033001600,5387
53033001701,4294
53033001702,5100
53033001800,5489
53033001900,5594
53033002000,3956
53033002100,4968
53033002200,6747
53033002400,3874
53033002500,4275
53033002600,6483
53033002700,7044
53033002800,5359
53033002900,4963
53033003000,6916
53033003100,7123
53033003201,4543
53033003202,5252
53033003301,5723
53033003302,4213
53033003400,4252
53033003500,5237
53033003601,4763
53033003602,5613
53033003800,3008
53033003900,3531
53033004000,3251
53033004101,5450
53033004102,4883
53033004201,4039
53033004202,5884
53033004301,3465
53033004302,2206
53033004401,3591
53033004402,2816
53033004500,3806
53033004600,4501
53033004701,4345
53033004702,4975
53033004703,4828
53033004800,6306
53033004901,4952
53033004902,4483
53033005000,5579
53033005100,4565
53033005201,3704
53033005202,2777
53033005303,265
53033005304,312
53033005305,1233
53033005306,2450
53033005307,395
53033005401,4984
53033005402,4295
53033005600,7741
53033005700,7409
53033005801,8159
53033005803,3998
53033005804,2740
53033005901,3357
53033005902,4445
53033006000,6816
53033006100,8100
53033006200,5549
53033006300,7230
53033006400,4637
53033006500,7080
53033006600,6760
53033006701,5871
53033006702,4314
53033006703,3595
53033006800,4222
53033006900,5646
53033007001,4867
53033007002,4329
53033007101,3544
53033007102,3353
53033007201,7996
53033007202,5162
53033007203,3957
53033007301,3045
53033007302,6544
53033007303,4010
53033007403,4218
53033007404,4589
53033007405,2524
53033007406,3284
53033007501,4900
53033007502,3329
53033007503,2916
53033007600,6032
53033007700,6555
53033007800,7123
53033007901,4030
53033007902,4286
53033008002,5074
53033008003,5823
53033008004,5085
53033008101,2828
53033008102,2624
53033008200,5506
53033008300,3852
53033008401,3158
53033008402,3231
53033008500,3421
53033008600,5321
53033008700,4549
53033008800,4669
53033008900,6050
53033009000,3521
53033009100,1861
53033009200,1834
53033009300,3022
53033009400,7154
53033009500,6779
53033009600,7034
53033009701,6561
53033009702,5865
53033009801,3137
53033009802,4221
53033009900,4948
53033010001,2158
53033010002,4570
53033010101,2568
53033010102,4892
53033010200,5348
53033010301,3132
53033010302,4481
53033010401,3016
53033010402,2401
53033010501,4506
53033010502,6046
53033010601,4646
53033010602,4305
53033010701,3030
53033010702,3086
53033010800,3746
53033010900,1026
53033011001,2172
53033011002,1231
53033011101,2952
53033011102,4665
53033011200,1570
53033011300,4419
53033011401,2774
53033011402,2338
53033011500,3892
53033011601,3862
53033011602,3556
53033011700,2126
53033011801,2237
53033011802,2556
53033011901,2041
53033011902,1823
53033012000,2836
53033012100,2969
53033020100,3598
53033020200,4364
53033020301,2714
53033020302,2744
53033020401,2301
53033020402,4547
53033020500,5590
53033020600,2596
53033020700,2995
53033020800,4157
53033020900,3584
53033021000,4398
53033021100,3915
53033021300,3825
53033021400,3961
53033021500,5003
53033021600,4590
53033021701,4157
53033021702,4111
53033021802,4315
53033021803,4793
53033021804,4101
53033021903,4469
53033021904,4137
53033021905,4636
53033021906,4235
53033022001,5196
53033022003,4767
53033022005,3765
53033022006,4372
53033022101,4482
53033022102,5349
53033022201,2858
53033022203,5436
53033022204,2921
53033022205,4207
53033022300,2811
53033022401,3814
53033022402,6569
53033022501,4618
53033022502,4010
53033022603,6175
53033022604,4811
53033022605,5625
53033022606,5651
53033022701,3992
53033022702,3989
53033022703,2739
53033022802,6269
53033022803,8594
53033022804,6336
53033022805,4689
53033022901,3513
53033022902,7199
53033023000,6657
53033023100,4514
53033023201,6624
53033023202,3745
53033023300,6179
53033023401,3733
53033023403,4239
53033023404,3364
53033023500,4011
53033023601,4732
53033023603,6838
53033023604,5382
53033023701,5194
53033023702,1176
53033023801,3554
53033023805,3783
53033023806,5144
53033023807,8023
53033023808,3336
53033023901,4520
53033023902,3120
53033024001,4166
53033024002,4331
53033024100,5278
53033024200,3384
53033024301,4612
53033024302,4608
53033024400,3270
53033024500,5751
53033024601,5823
53033024602,4481
53033024701,2820
53033024703,4200
53033024704,3994
53033024800,4647
53033024901,5465
53033024902,4420
53033024904,3086
53033024905,4669
53033025001,6309
53033025005,6368
53033025006,6951
53033025007,5184
53033025008,2639
53033025101,3997
53033025103,3007
53033025104,2493
53033025201,2217
53033025202,2380
53033025302,1956
53033025303,1701
53033025304,3536
53033025401,1928
53033025402,1161
53033025500,2175
53033025601,2507
53033025602,4088
53033025702,1972
53033025703,1902
53033025704,1743
53033025803,1448
53033025804,1185
53033025805,2784
53033025806,2519
53033026001,3514
53033026003,923
53033026004,2253
53033026101,2184
53033026102,1606
53033026200,2957
53033026300,592
53033026400,1796
53033026500,1624
53033026600,1272
53033026700,2918
53033026801,1922
53033026802,2163
53033027000,1319
53033027100,1518
53033027200,825
53033027300,2205
53033027400,1676
53033027500,1452
53033027600,2083
53033027701,4260
53033027702,4400
53033027800,2808
53033027901,3180
53033027902,1675
53033028000,1113
53033028100,845
53033028200,1937
53033028300,3519
53033028402,1831
53033028403,1864
53033028500,1441
53033028600,5227
53033028700,2946
53033028801,1018
53033028802,1751
53033028901,2246
53033028902,1322
53033029001,2112
53033029003,2374
53033029004,542
53033029101,1691
53033029102,1353
53033029203,1132
53033029205,2680
53033029206,1070
53033029207,1269
53033029208,1226
53033029304,3302
53033029305,2352
53033029306,1425
53033029307,2569
53033029308,1342
53033029309,2818
53033029403,2643
53033029405,2517
53033029406,2724
53033029407,1372
53033029408,1531
53033029504,1819
53033029505,1552
53033029506,544
53033029507,1069
53033029508,1841
53033029602,3599
53033029603,2346
53033029604,970
53033029701,1151
53033029702,1234
53033029803,1806
53033029804,2141
53033029805,1711
53033029806,2898
53033029901,1489
53033029902,2829
53033030003,2532
53033030005,1534
53033030006,1541
53033030007,797
53033030008,1454
53033030101,1407
53033030102,3117
53033030201,1676
53033030203,1100
53033030204,1668
53033030304,1687
53033030305,3183
53033030306,2933
53033030308,2336
53033030309,2710
53033030310,3789
53033030311,1586
53033030312,2221
53033030313,1146
53033030314,2472
53033030403,2317
53033030404,1857
53033030405,1108
53033030406,1306
53033030407,1265
53033030501,610
53033030503,1813
53033030504,1161
53033030600,1364
53033030700,893
53033030801,736
53033030802,875
53033030901,868
53033030902,1824
53033031000,3356
53033031101,1368
53033031102,671
53033031202,2407
53033031204,2787
53033031206,1891
53033031207,1139
53033031208,1684
53033031301,892
53033031302,1494
53033031400,2624
53033031501,1957
53033031502,2083
53033031601,2653
53033031603,4082
53033031604,3083
53033031605,3172
53033031704,2118
53033031705,1866
53033031707,2293
53033031708,2206
53033031709,1644
53033031710,1748
53033031800,2705
53033031904,2174
53033031906,2160
53033031908,2320
53033031909,1630
53033031910,3038
53033031911,2404
53033031912,1312
53033031913,2507
53033032002,1729
53033032003,3644
53033032005,2521
53033032006,2630
53033032007,2057
53033032008,2195
53033032010,3814
53033032011,2670
53033032102,4514
53033032103,4610
53033032104,6210
53033032207,3606
53033032211,4808
53033032213,4231
53033032215,6428
53033032216,4960
53033032217,5002
53033032218,5792
53033032219,5356
53033032220,10060
53033032221,7178
53033032222,3555
53033032223,4031
53033032224,2832
53033032225,3774
53033032307,5015
53033032311,5182
53033032313,7374
53033032315,4840
53033032316,6028
53033032317,6544
53033032318,7235
53033032319,5283
53033032320,5253
53033032321,8079
53033032322,3508
53033032323,6438
53033032324,6462
53033032325,6450
53033032326,3291
53033032327,4913
53033032328,3185
53033032330,6658
53033032331,6390
53033032332,6794
53033032333,3218
53033032401,4565
53033032402,4747
53033032500,4069
53033032601,1758
53033032603,3796
53033032604,5534
53033032605,3450
53033032703,1096
53033032704,5674
53033032705,2714
53033032706,1506
53033032800,1739
53033990100,0
53035080101,NaN
53035080102,NaN
53035080200,NaN
53035080300,NaN
53035080400,NaN
53035080500,NaN
53035080600,NaN
53035080700,NaN
53035080800,NaN
53035080900,NaN
53035081000,NaN
53035081100,NaN
53035081200,NaN
53035081400,NaN
53035090101,NaN
53035090102,NaN
53035090201,NaN
53035090202,NaN
53035090300,NaN
53035090400,NaN
53035090501,NaN
53035090502,NaN
53035090700,NaN
53035090800,NaN
53035090901,NaN
53035090902,NaN
53035091001,NaN
53035091002,NaN
53035091100,NaN
53035091201,NaN
53035091204,NaN
53035091205,NaN
53035091206,NaN
53035091301,NaN
53035091302,NaN
53035091400,NaN
53035091500,NaN
53035091600,NaN
53035091701,NaN
53035091702,NaN
53035091800,NaN
53035091900,NaN
53035092000,NaN
53035092101,NaN
53035092102,NaN
53035092200,NaN
53035092300,NaN
53035092400,NaN
53035092500,NaN
53035092600,NaN
53035092701,NaN
53035092704,NaN
53035092801,NaN
53035092802,NaN
53035092803,NaN
53035092901,NaN
53035092902,NaN
53035940000,NaN
53035940100,NaN
53035990100,NaN
53037975101,NaN
53037975102,NaN
53037975103,NaN
53037975104,NaN
53037975201,NaN
53037975202,NaN
53037975203,NaN
53037975300,NaN
53037975500,NaN
53041970100,NaN
53041970200,NaN
53041970300,NaN
53041970400,NaN
53041970500,NaN
53041970600,NaN
53041970700,NaN
53041970800,NaN
53041970900,NaN
53041971000,NaN
53041971100,NaN
53041971200,NaN
53041971300,NaN
53041971400,NaN
53041971501,NaN
53041971502,NaN
53041971600,NaN
53041971700,NaN
53041971800,NaN
53041971900,NaN
53041972000,NaN
53045940000,NaN
53045960100,NaN
53045960201,NaN
53045960202,NaN
53045960301,NaN
53045960302,NaN
53045960401,NaN
53045960402,NaN
53045960403,NaN
53045960500,NaN
53045960600,NaN
53045960700,NaN
53045960800,NaN
53045960900,NaN
53045961000,NaN
53045961101,NaN
53045961102,NaN
53045961200,NaN
53045961300,NaN
53047970900,NaN
53049950200,NaN
53049950400,NaN
53053060200,1146
53053060300,3758
53053060400,3444
53053060500,3565
53053060600,4916
53053060700,5043
53053060800,4575
53053060903,1887
53053060904,2122
53053060906,963
53053060907,2004
53053060908,2131
53053061001,3464
53053061002,2036
53053061100,3286
53053061200,2292
53053061300,2558
53053061400,1385
53053061501,1971
53053061502,3588
53053061601,1052
53053061602,660
53053061700,1755
53053061800,957
53053061900,763
53053062000,1527
53053062300,1769
53053062400,2498
53053062501,1144
53053062502,1009
53053062600,1195
53053062801,1150
53053062802,1256
53053062901,1334
53053062902,819
53053063000,1122
53053063100,1213
53053063200,1572
53053063301,882
53053063302,586
53053063401,904
53053063402,890
53053063501,1688
53053063502,1538
53053070100,1416
53053070204,650
53053070205,746
53053070206,1592
53053070207,2564
53053070208,3822
53053070209,1148
53053070307,3044
53053070308,1404
53053070309,2632
53053070310,1463
53053070311,1148
53053070312,3490
53053070313,1743
53053070314,1571
53053070315,3904
53053070316,3816
53053070401,602
53053070403,1158
53053070404,1482
53053070703,1895
53053071100,891
53053071205,2059
53053071206,2010
53053071207,1988
53053071209,1526
53053071210,3105
53053071211,1213
53053071212,1381
53053071304,2106
53053071305,878
53053071306,2452
53053071307,1452
53053071309,1279
53053071310,3665
53053071403,583
53053071408,449
53053071409,544
53053071411,850
53053071412,2204
53053071413,1130
53053071414,950
53053071415,303
53053071416,178
53053071417,1739
53053071503,1478
53053071504,1228
53053071505,1026
53053071506,1512
53053071601,528
53053071603,902
53053071604,1484
53053071703,460
53053071704,948
53053071705,902
53053071706,351
53053071707,522
53053071803,2016
53053071805,455
53053071806,888
53053071807,991
53053071808,352
53053071901,1983
53053071902,3540
53053072000,388
53053072105,3003
53053072106,2274
53053072107,2052
53053072108,1730
53053072109,2888
53053072111,1372
53053072112,2138
53053072305,3794
53053072307,2524
53053072309,4271
53053072310,2114
53053072311,3025
53053072312,3164
53053072313,2869
53053072314,2679
53053072315,2012
53053072405,3441
53053072406,4969
53053072407,2904
53053072408,4103
53053072409,1924
53053072410,2951
53053072503,2386
53053072504,3068
53053072506,3135
53053072507,2541
53053072508,2803
53053072509,4620
53053072601,2153
53053072602,1467
53053072603,2807
53053072801,3763
53053072802,3827
53053072901,665
53053072903,2047
53053072907,573
53053072908,1356
53053072909,156
53053073001,2400
53053073005,806
53053073006,1616
53053073110,2194
53053073111,1422
53053073114,956
53053073115,1082
53053073116,1260
53053073117,1024
53053073118,960
53053073119,674
53053073120,1425
53053073121,2550
53053073122,1838
53053073123,2338
53053073124,958
53053073126,1386
53053073127,683
53053073128,1233
53053073129,1150
53053073130,1070
53053073131,1090
53053073132,1748
53053073133,899
53053073200,2334
53053073301,2242
53053073302,1666
53053073404,1642
53053073405,1113
53053073406,2388
53053073407,1335
53053073408,1539
53053073501,1472
53053073502,1999
53053940001,2112
53053940002,1446
53053940004,2050
53053940005,2222
53053940006,791
53053940007,653
53053940008,3738
53053940009,1973
53053940010,1710
