CensusTract,County,CompositeValue
53053060200,Pierce,276318021.88149
53053060300,Pierce,276318022.39296
53053060400,Pierce,276318022.92531
53053060500,Pierce,276318023.46223
53053060600,Pierce,276318023.96176
53053060700,Pierce,276318024.48140
53053060800,Pierce,276318024.99897
53053060903,Pierce,276318025.52930
53053060904,Pierce,276318025.53740
53053060906,Pierce,276318025.53298
53033000101,King,107790650.60848
53033000102,King,107790650.60841
53033000201,King,107790650.81245
53033000202,King,107790650.81822
53033000300,King,107790651.01822
53033000402,King,107790651.22022
53033000403,King,107790651.21208
53033000404,King,107790651.21781
53033000500,King,107790651.42666
53033000601,King,107790651.62196
