Name,County,Lat,Long
Eatonville,Pierce,46.87345126,-122.2642631
Graham,Pierce,47.05288861,-122.3074563
Parkland/Spanaway,Pierce,47.13234635,-122.4355065
Orting,Pierce,47.09709231,-122.2019094
South Hill,Pierce,47.11614695,-122.2937197
Summit,Pierce,47.15495512,-122.3598786
Bonney Lake,Pierce,47.17570149,-122.1818387
Buckley,Pierce,47.16259479,-122.0292269
Fife,Pierce,47.23885305,-122.3406367
Milton/Edgewood,Pierce,47.24729984,-122.2956274
Sumner,Pierce,47.20501094,-122.2443681
Anderson Island,Pierce,47.17381812,-122.6902018
DuPont,Pierce,47.09170994,-122.6442802
Gig Harbor,Pierce,47.29884177090069, -122.5799407584926
Key Center,Pierce,47.338352253515346, -122.74665531801318
Lakewood,Pierce,47.16048614643188, -122.521800091094
Steilacoom,Pierce,47.176660063978304, -122.57887857384114
Tillicum,Pierce,47.123717270318274, -122.55411924315676
University Place,Pierce,47.22584225722452, -122.53594900267474
Algona-Pacific,King,47.271667311642815, -122.25369654500099
Auburn,King,47.298675695121304, -122.21819046034325
Bellevue,King,47.62002980777766, -122.1941689026577
Black Diamond,King,47.31192329694569,-122.0126463026711
Bothell,King,47.760243658915186, -122.21037297381575
Boulevard Park,King,47.49537451799292, -122.30777740266309
Burien,King,47.4670648240237, -122.33985411615681
Carnation,King,47.650439126203814,-121.91234197567135
Covington,King,47.35891427117194,-122.12187900266899
Crossroads,King,47.61968130295293,-122.13043473149355
Des Moines,King,47.40814831020841,-122.31945401615934
Duvall,King,47.740335186259095, -121.98575727381663
Enumclaw,King,47.2034216580386, -121.98766293336236
Fairwood,King,47.45067465491864, -122.1546083738292
Fall City,King,47.56877626518314, -121.89378541615245
Federal Way,King,47.29434565763338, -122.33183294543781
Federal Way 320th,King,47.315688579790724, -122.32092217125512
Greenbridge,King,47.51606260258848, -122.34517924684124
Issaquah,King,47.53045395937059, -122.03699010266156
Kenmore,King,47.75945507045956, -122.25240267566645
Kent,King,47.382610253854416, -122.23420405268985
Kent Panther Lake,King,47.418411972651334, -122.19674416444413
Kingsgate,King,47.72968731426047, -122.17628058900965
Kirkland,King,47.67601260669667, -122.20291434931897
Lake Forest Park,King,47.754307698276726, -122.27978151085732
Lake Hills,King,47.603520893672595, -122.13142226080828
Maple Valley,King,47.38017757756986, -122.0486907616392
Mercer Island,King,47.56696699756088, -122.22117148583757
Muckleshoot,King,47.243240552819074, -122.11324491986808
Newcastle,King,47.53770979978144, -122.16704334882208
Newport Way,King,47.570510210274385, -122.14904217120103
North Bend,King,47.49673558466818, -121.78338189899938
Redmond,King,47.678923018321065, -122.12807750265503
Redmond Ridge Express,King,47.69324390271903, -122.04559581413713
Renton,King,47.481851320381125, -122.20205423149946
Renton Highlands,King,47.50000619396986, -122.18139439102114
Richmond Beach,King,47.771800578847845, -122.38492203877082
Sammamish,King,47.60059247513557, -122.03702779515417
Shoreline,King,47.75559300876728, -122.32518479052936
Skykomish,King,47.70848593938652, -121.36094874867035
Skyway,King,47.490692368964154, -122.2384792439865
Snoqualmie,King,47.529882374909725, -121.87249572567944
Southcenter,King,47.459225904313485, -122.25586502791012
Tukwila,King,47.47462296392985, -122.28373766033609
Valley View,King,47.443182354310316, -122.27378702172025
Vashon,King,47.45072313621489, -122.45947017412125
White Center,King,47.50695882222278, -122.35331930467999
Woodinville,King,47.75165256001599, -122.08192211413215
Woodmont,King,47.36105452677517, -122.30824110133733
