GEOID,meanValue,medianValue
53007960100,,
53007960201,,
53007960202,,
53007960203,,
53007960301,,
53007960501,,
53007960502,,
53007960600,,
53007960700,,
53007960801,,
53007961200,,
53007961301,,
53007961304,,
53009000600,,
53009000700,,
53009000800,,
53009000900,,
53009001000,,
53009001100,,
53009001200,,
53009001300,,
53009001400,,
53009001500,,
53009001600,,
53009001701,,
53009001702,,
53009001800,,
53009001901,,
53009001902,,
53009002001,,
53009002002,,
53009002100,,
53009002301,,
53009002302,,
53009990100,,
53015000703,,
53015000705,,
53015000706,,
53015000802,,
53015000901,,
53015000902,,
53015001300,,
53015001700,,
53015001800,,
53015001900,,
53015002001,,
53015002003,,
53015002004,,
53027000300,,
53027000401,,
53027000402,,
53027000501,,
53027000502,,
53027000600,,
53027000700,,
53029970100,,
53029970200,,
53029970300,,
53029970401,,
53029970402,,
53029970500,,
53029970601,,
53029970602,,
53029970700,,
53029970800,,
53029970900,,
53029971000,,
53029971100,,
53029971301,,
53029971302,,
53029971400,,
53029971500,,
53029971600,,
53029971700,,
53029971800,,
53029971900,,
53029972000,,
53029972100,,
53029992201,,
53031950202,,
53031950301,,
53031950302,,
53031950400,,
53031950501,,
53031950502,,
53031950602,,
53031950603,,
53031950604,,
53031950702,,
53033000101,87517,57004
53033000102,114210,71476
53033000201,123999,83570
53033000202,111515,104167
53033000300,135337,108258
53033000402,124458,78956
53033000403,79707,39470
53033000404,50035,39818
53033000500,204538,150446
53033000601,120533,88406
53033000602,119660,98305
53033000700,104163,81200
53033000800,139660,116250
53033000900,177667,122778
53033001000,132680,118098
53033001100,142459,128646
53033001201,54033,43228
53033001202,82085,64274
53033001300,92854,80804
53033001400,144298,109688
53033001500,181837,152917
53033001600,217928,197813
53033001701,106239,94412
53033001702,121457,96300
53033001800,132310,102397
53033001900,150846,124226
53033002000,164398,128393
53033002100,157374,132545
53033002200,188890,146786
53033002400,174615,154779
53033002500,187138,150052
53033002600,181671,165147
53033002700,194846,164813
53033002800,159883,128654
53033002900,164332,136410
53033003000,171059,127688
53033003100,195666,165651
53033003201,181794,106750
53033003202,178625,147272
53033003301,154062,123833
53033003302,170966,128158
53033003400,211620,139360
53033003500,157078,113520
53033003601,137358,96622
53033003602,100977,88958
53033003800,204428,130650
53033003900,184126,161429
53033004000,221115,125707
53033004101,387681,
53033004102,218376,161875
53033004201,287840,177644
53033004202,205588,165257
53033004301,154654,110893
53033004302,55699,39507
53033004401,147926,119313
53033004402,96747,61328
53033004500,171727,124327
53033004600,177609,137721
53033004701,100930,86065
53033004702,128440,101897
53033004703,130146,122412
53033004800,187219,128160
53033004901,156227,111374
53033004902,152807,109697
53033005000,135957,109891
53033005100,183555,145278
53033005201,132544,73333
53033005202,79014,46830
53033005303,,
53033005304,22899,21042
53033005305,33624,26417
53033005306,54474,37833
53033005307,31770,35684
53033005401,141291,126131
53033005402,124373,105882
53033005600,228915,178297
53033005700,189081,155802
53033005801,150059,124392
53033005803,152580,131385
53033005804,101497,82289
53033005901,168732,140036
53033005902,195217,164828
53033006000,177962,106682
53033006100,160479,128904
53033006200,260572,215781
53033006300,317544,139000
53033006400,244601,167167
53033006500,174957,121546
53033006600,169436,132326
53033006701,161844,153387
53033006702,131511,114222
53033006703,161546,103393
53033006800,243911,148164
53033006900,215127,150139
53033007001,102741,58088
53033007002,112844,69613
53033007101,122385,112258
53033007102,143837,96154
53033007201,141929,109335
53033007202,193412,173264
53033007203,139721,120000
53033007301,111070,91232
53033007302,148483,132978
53033007303,142009,123095
53033007403,113349,85260
53033007404,118235,97794
53033007405,87524,76250
53033007406,95129,56801
53033007501,107512,68798
53033007502,90152,101375
53033007503,102256,64609
53033007600,158424,120103
53033007700,190826,126815
53033007800,247992,169159
53033007901,123850,69510
53033007902,135180,75074
53033008002,116410,102365
53033008003,129190,108111
53033008004,183820,180086
53033008101,131999,87820
53033008102,151451,107250
53033008200,143862,116250
53033008300,113441,102962
